"web_x","web_y"
-10296794.3083424,5552776.84714699
-10297222.3014247,5552781.57481206
-10297509.3160412,5552642.6846289
-10298008.6346229,5552575.29306726
-10298513.9083378,5552617.55833391
-10298792.4537279,5552727.19172573
-10299218.7693444,5552944.08915195
-10299572.0609334,5553233.11572328
-10299854.0191203,5553522.15824255
-10300077.3709045,5553661.01195425
-10300141.912922,5553701.53654012
-10300357.612728,5553748.6031973
-10300422.9994633,5553740.84861828
-10300780.4950731,5553592.40139463
-10301200.8296846,5553424.87798851
-10301283.1997153,5553396.8573411
-10301627.1113581,5553281.19789335
-10302070.3739322,5553115.46542508
-10302544.2102685,5552965.82533871
-10302901.7187625,5552954.46754941
-10303126.787659,5553303.10779467
-10303208.3368494,5553589.1918978
-10303295.0011085,5554082.71192808
-10303312.8879385,5554651.37352023
-10303335.8535246,5555053.15201568
-10303403.822297,5555409.63746612
-10303557.5412636,5555570.58556549
-10303613.5934142,5555628.4088628
-10303826.7609538,5555840.62592136
-10304062.8713188,5556212.62731262
-10304102.7902032,5556275.22470642
-10304247.1921578,5556700.3177671
-10304606.4395204,5557106.32997962
-10304831.508433,5557455.12956487
-10305202.6442735,5557872.5044517
-10305517.7203782,5558139.62622184
-10305932.1454376,5558347.70892218
-10306434.023169,5558402.52490704
-10306609.8061748,5558397.73709408
-10306800.028469,5558436.4824976
-10307228.8718005,5558441.21306172
-10307655.1862638,5558658.8425783
-10308163.0285981,5558924.18071227
-10308221.6258859,5558953.99513277
-10308675.9728811,5559257.51665148
-10309051.338767,5559502.60646482
-10309116.7301977,5559544.94566661
-10309689.0957173,5559651.05600316
-10310106.0609255,5559766.72449097
-10310711.560272,5560043.41852421
-10310995.2043257,5560187.1383425
-10311205.8513174,5560689.35682342
-10311272.9775718,5561117.64591868
-10311197.4470456,5561616.36333444
-10311121.900875,5561960.59161362
-10311104.9238648,5562035.76254977
-10310973.354014,5562612.69237033
-10311230.7042463,5563097.73696248
-10311465.9911631,5563732.57974304
-10311815.9015139,5564190.82123813
-10312431.6272861,5564843.01135515
-10313730.1500442,5565991.14918427
-10315218.8864563,5567075.54263895
-10316000.1973866,5567652.70635763
-10316544.5759545,5568135.00877354
-10316992.1498104,5568662.12221835
-10317367.5411485,5569178.52525679
-10317413.4037329,5569241.21154803
-10317840.60046,5569810.78451373
-10318264.3996866,5570363.67402375
-10318311.9606215,5570424.57756902
-10318643.184688,5570844.34386408
-10318682.2527457,5570902.26613783
-10319112.8391408,5571393.71009631
-10319575.6932584,5571864.87005904
-10320166.7901178,5572490.73564559
-10320720.5174903,5573059.30755694
-10320802.047998,5573147.10502675
-10321284.4314261,5573591.47380496
-10322002.9035866,5574191.16249348
-10322589.7315424,5574565.67509532
-10323014.3674652,5574997.57399258
-10323369.3708441,5575430.09680212
-10323747.2975537,5575815.43613193
-10323794.0080436,5575863.82873128
-10323947.7222292,5575974.94864359
-10324292.5170388,5576222.2868217
-10324791.0206666,5576512.04182162
-10325417.7415878,5576698.41573221
-10326075.895142,5577015.06132518
-10326142.1347364,5577046.12977058
-10326502.204541,5577169.79405072
-10326998.1727025,5577602.40715057
-10327497.5389529,5578034.44367436
-10328208.353132,5578468.27310426
-10329068.6224279,5578866.24610136
-10329136.5604228,5578896.12524486
-10330203.200857,5579483.57931296
-10330879.2057888,5579992.79971656
-10331478.7774796,5580444.06864301
-10331552.6627627,5580500.25621527
-10331911.0613778,5580926.46551403
-10331980.7086994,5581071.13400027
-10332119.1874877,5581715.01769194
-10332043.6706601,5582357.77150679
-10331963.9334345,5583287.00227161
-10331815.4129775,5584216.93222163
-10331523.3582923,5584928.66478372
-10331232.987719,5585499.29411615
-10330799.9537449,5586068.77495973
-10330293.8956621,5586708.28920535
-10329728.4091321,5587497.41849087
-10329410.0705296,5588653.37028691
-10329341.3789798,5589637.10232471
-10329195.3590495,5590064.98678066
-10329101.9970128,5590592.23182325
-10329089.2666431,5590670.6319843
-10328900.7907286,5591136.87349673
-10328538.2397766,5591706.10468309
-10328174.8588297,5592490.86311985
-10327791.0955748,5593239.17366194
-10327735.9083106,5593346.336729
-10327516.8799265,5594021.06211647
-10327461.7301411,5594524.5845866
-10327342.0559376,5595173.04344623
-10327346.3142385,5595299.98428808
-10327365.0447016,5595817.9420404
-10327428.7921782,5596425.75383898
-10327639.4392779,5596928.18701359
-10327778.7609813,5597502.52520321
-10327766.0588534,5597879.25982673
-10327463.8219408,5598681.91839587
-10327349.2061521,5598949.09007706
-10327271.1173955,5599333.67709033
-10327187.93326,5599720.0790978
-10327164.2218002,5600412.63664515
-10327208.4348719,5601004.58146289
-10327215.2372853,5601092.65902909
-10327459.0091134,5601656.46695403
-10327802.1526058,5602402.4698272
